,vix,spx
1991-08-21,15.62,1792.9000244140625
1991-08-22,14.59,1819.0999755859375
1991-08-23,14.41,1833.5
1991-08-26,14.81,1853.4000244140625
1991-08-27,15.46,1849.699951171875
1991-08-28,15.31,1851.800048828125
1991-08-29,14.82,1857.699951171875
1991-08-30,14.46,1864.300048828125
1991-09-03,16.57,1873.199951171875
1991-09-04,17.18,1860.800048828125
1991-09-05,17.31,1868.699951171875
1991-09-06,16.76,1860.4000244140625
1991-09-09,17.73,1855.9000244140625
1991-09-10,18.22,1840.5
1991-09-11,17.96,1842.5999755859375
1991-09-12,16.21,1861.199951171875
1991-09-13,17.88,1876.199951171875
1991-09-16,17.82,1878.300048828125
1991-09-17,17.68,1878.4000244140625
1991-09-18,17.56,1869.4000244140625
1991-09-19,17.56,1880.4000244140625
1991-09-20,17.08,1885.5
1991-09-23,16.38,1888.4000244140625
1991-09-24,16.04,1885.199951171875
1991-09-25,15.68,1877.9000244140625
1991-09-26,15.35,1876.5
1991-09-27,16.31,1883.800048828125
1991-09-30,15.85,1880.5999755859375
1991-10-01,14.81,1887.4000244140625
1991-10-02,15.81,1878.300048828125
1991-10-03,17.04,1867.0999755859375
1991-10-04,15.63,1851.9000244140625
1991-10-07,18.58,1843.5999755859375
1991-10-08,17.81,1848.0999755859375
1991-10-09,18.54,1843.4000244140625
1991-10-10,17.8,1843.5999755859375
1991-10-11,17.6,1833.800048828125
1991-10-14,16.71,1833.4000244140625
1991-10-15,16.22,1856.9000244140625
1991-10-16,14.85,1863.4000244140625
1991-10-17,16.32,1855.5
1991-10-18,15.87,1864.199951171875
1991-10-21,16.66,1846.0
1991-10-22,16.55,1836.800048828125
1991-10-23,16.26,1830.4000244140625
1991-10-24,15.62,1831.5999755859375
1991-10-25,15.75,1834.800048828125
1991-10-28,15.45,1852.0999755859375
1991-10-29,15.55,1849.800048828125
1991-10-30,15.46,1861.800048828125
1991-10-31,15.48,1856.699951171875
1991-11-04,16.35,1841.5
1991-11-05,16.48,1846.9000244140625
1991-11-06,16.47,1836.0999755859375
1991-11-07,15.97,1838.5999755859375
1991-11-08,15.43,1857.5999755859375
1991-11-12,14.04,1858.4000244140625
1991-11-13,13.95,1846.800048828125
1991-11-14,13.96,1868.5
1991-11-15,21.18,1863.199951171875
1991-11-18,18.28,1808.300048828125
1991-11-19,20.34,1765.0999755859375
1991-11-20,20.4,1763.5
1991-11-21,19.11,1766.0
1991-11-22,21.2,1741.300048828125
1991-11-25,21.92,1743.300048828125
1991-11-26,19.8,1769.0
1991-11-27,19.84,1757.9000244140625
1991-11-29,20.26,1739.699951171875
1991-12-02,20.18,1708.800048828125
1991-12-03,19.7,1722.199951171875
1991-12-04,19.54,1713.9000244140625
1991-12-05,20.19,1703.199951171875
1991-12-06,19.04,1685.699951171875
1991-12-09,19.74,1663.4000244140625
1991-12-10,19.89,1636.9000244140625
1991-12-11,20.57,1645.5999755859375
1991-12-12,19.08,1671.5999755859375
1991-12-13,17.88,1688.300048828125
1991-12-16,17.62,1696.800048828125
1991-12-17,18.12,1711.699951171875
1991-12-18,17.78,1706.199951171875
1991-12-19,17.96,1684.199951171875
1991-12-20,17.65,1648.5
1991-12-23,16.61,1633.5999755859375
1991-12-24,15.67,1699.0999755859375
1991-12-26,15.44,1722.5
1991-12-27,15.7,1720.699951171875
1991-12-30,17.63,1741.9000244140625
1991-12-31,19.31,1765.699951171875
1992-01-02,18.95,1749.9000244140625
1992-01-03,18.75,1770.300048828125
